Model,Bins,Index,Best Parameters,Test R²,Test MSE
random_forest,30,msavi,"{'max_depth': 20, 'n_estimators': 200}",0.7083128969076105,0.21823080162422387
xgboost,10,ndbi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6831629170368592,0.23704719840639044
xgboost,15,ndbi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6954636165520539,0.22784421518471065
xgboost,20,ndbi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6956380661063015,0.22771369770326277
xgboost,25,ndbi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6978516121065811,0.2260575945949944
xgboost,30,ndbi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6966513857021837,0.22695556494604988
gradient_boost,10,ndbi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6800402604657252,0.23938346846938283
gradient_boost,15,ndbi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.69337269195688,0.22940857694669117
gradient_boost,20,ndbi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6889092023697981,0.2327480146534098
gradient_boost,25,ndbi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6915631902798538,0.2307623872363176
gradient_boost,30,ndbi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6934055235685006,0.22938401340292588
random_forest,10,ndbi,"{'max_depth': 20, 'n_estimators': 200}",0.679816062253219,0.23955120627855991
random_forest,15,ndbi,"{'max_depth': 20, 'n_estimators': 200}",0.6935876395385863,0.22924776015854506
random_forest,20,ndbi,"{'max_depth': 20, 'n_estimators': 200}",0.6940977251461269,0.22886613070064168
random_forest,25,ndbi,"{'max_depth': 20, 'n_estimators': 200}",0.6976006831112064,0.22624533150633133
random_forest,30,ndbi,"{'max_depth': 20, 'n_estimators': 200}",0.6943268281551546,0.22869472328226573
xgboost,10,vari,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6970621550061802,0.22664824071558706
xgboost,15,vari,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7026767532502427,0.22244758095857461
xgboost,20,vari,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7055031018902536,0.22033299885041832
